,R,date_as_date,Stringency_index_in_Israel,total_intubated,number_kashim,daily_deaths,number_kashim_smooth,total_intubated_smooth,daily_deaths_smooth,delta_deaths_raw1,delta_deaths_from_smoothed_1day,delta_deaths_from_smoothed_1week
143,0.93,2020-07-22,54.63,79,284,6.0,290.57142857142856,82.42857142857143,9.714285714285714,-3.0,-0.14285714285714413,2.1428571428571423
144,0.91,2020-07-23,54.63,83,310,16.0,296.42857142857144,86.14285714285714,9.857142857142858,10.0,0.14285714285714413,1.8571428571428577
145,0.91,2020-07-24,54.63,86,329,8.0,303.85714285714283,88.42857142857143,9.142857142857142,-8.0,-0.7142857142857153,0.0
146,0.9,2020-07-25,54.63,98,321,7.0,313.2857142857143,90.42857142857143,9.0,-1.0,-0.14285714285714235,-0.4285714285714288
147,0.9,2020-07-26,54.63,99,311,11.0,320.57142857142856,92.85714285714286,10.285714285714286,4.0,1.2857142857142865,0.8571428571428577
148,0.92,2020-07-27,52.78,94,316,7.0,321.7142857142857,95.42857142857143,10.142857142857142,-4.0,-0.14285714285714413,-0.2857142857142865
149,0.97,2020-07-28,52.78,94,322,8.0,320.0,96.42857142857143,11.0,1.0,0.8571428571428577,1.1428571428571423
150,0.99,2020-07-29,52.78,96,335,15.0,322.2857142857143,95.71428571428571,12.0,7.0,1.0,2.2857142857142865
151,1.01,2020-07-30,52.78,101,318,15.0,327.7142857142857,95.71428571428571,12.0,0.0,0.0,2.1428571428571423
152,1.01,2020-07-31,52.78,93,317,14.0,329.42857142857144,95.57142857142857,13.142857142857142,-1.0,1.1428571428571423,4.0
153,1.02,2020-08-01,52.78,93,337,14.0,332.14285714285717,96.0,13.571428571428571,0.0,0.4285714285714288,4.571428571428571
154,1.01,2020-08-02,52.78,99,349,11.0,334.85714285714283,97.14285714285714,12.857142857142858,-3.0,-0.7142857142857135,2.571428571428571
155,1.01,2020-08-03,52.78,93,328,15.0,340.2857142857143,96.42857142857143,12.0,4.0,-0.8571428571428577,1.8571428571428577
156,0.97,2020-08-04,52.78,97,341,11.0,347.2857142857143,97.85714285714286,11.714285714285714,-4.0,-0.2857142857142865,0.7142857142857135
157,0.97,2020-08-05,52.78,104,354,10.0,354.2857142857143,98.85714285714286,11.571428571428571,-1.0,-0.14285714285714235,-0.4285714285714288
158,0.99,2020-08-06,52.78,96,356,9.0,359.57142857142856,100.28571428571429,11.0,-1.0,-0.5714285714285712,-1.0
